Atividade;Tags
Tirar uma foto com alguém do seu trabalho.;Sem Tag
Beber um copo d'água.;Sem Tag
Ir ao banheiro.;Sem Tag
Fazer 10 agachamentos.;Treino
Mandar uma mensagem para um ente querido.;Sem Tag
Checar as notificações do celular.;Sem Tag
Olhar pela janela e observar o ambiente.;Sem Tag
Dar 5 respirações profundas.;Meditação
Fazer um alongamento rápido de braços.;Treino
Organizar a mesa de trabalho.;Sem Tag
Limpar os óculos ou a tela do computador.;Sem Tag
Escrever uma frase descrevendo seu dia.;Sem Tag
Anotar uma ideia que você teve durante o trabalho.;Sem Tag
Tirar uma foto de algo interessante ao seu redor.;Sem Tag
Fazer uma mini meditação de 2 minutos.;Meditação
Colocar um alarme para lembrar de uma tarefa importante.;Sem Tag
Olhar uma foto de algo ou alguém que você ama.;Sem Tag
Verificar a previsão do tempo para o resto do dia.;Sem Tag
Arrumar as almofadas ou cadeira para melhorar a postura.;Sem Tag
Fazer uma lista rápida de 3 coisas pelas quais você é grato hoje.;Sem Tag
Ouvir uma música curta e revigorante.;Sem Tag
Trocar uma palavra rápida com um colega de trabalho.;Sem Tag
Caminhar até a cozinha para um lanche leve.;Sem Tag
Fazer dois giros completos com o pescoço para aliviar a tensão.;Sem Tag
Ler uma citação inspiradora.;Sem Tag
Mandar um emoji/sticker/meme engraçado para um amigo.;Sem Tag
Revisar rapidamente sua lista de tarefas.;Sem Tag
Abrir a janela para renovar o ar.;Sem Tag
Limpar a sua caneca de café ou chá.;Sem Tag
Tomar um café ou chá.;Sem Tag
Sentar-se em silêncio por 1 minuto.;Sem Tag
Verificar a data e ajustar compromissos futuros.;Sem Tag
Massagear suavemente as têmporas para relaxar.;Sem Tag
Testar um exercício de respiração de 4-7-8.;Sem Tag
Trocar a música de fundo do trabalho.;Sem Tag
Atualizar sua assinatura de e-mail.;Sem Tag
Mandar um agradecimento rápido a alguém por e-mail.;Sem Tag
Revisar o tempo restante até o final do dia.;Sem Tag
Colocar o lixo no cesto.;Sem Tag
Fechar os olhos por 30 segundos para descansar.;Sem Tag
Fazer uma rápida rotação dos ombros.;Sem Tag
Pular corda por 1 minuto.;Treino
Organizar brevemente seus arquivos digitais.;Sem Tag
Fazer um auto check-in emocional.;Sem Tag
Fotografar uma planta ou decoração de mesa.;Sem Tag
Criar uma pequena lista de tarefas para o dia seguinte.;Sem Tag
Verificar sua conta bancária ou finanças.;Sem Tag
Ler um meme ou piada rápida.;Sem Tag
Passar um pano na sua área de trabalho.;Sem Tag
Experimentar uma postura diferente na cadeira.;Sem Tag
Tirar 5 minutos para refletir sobre sua última tarefa.;Sem Tag
Fazer 10 flexões.;Treino
Trocar de posição entre sentado e em pé.;Sem Tag
Olhar rapidamente as notícias do dia.;Sem Tag
Fazer um check-in com um colega por mensagem.;Sem Tag
Organizar as abas do navegador.;Sem Tag
Trocar o fundo de tela do computador.;Sem Tag
Trocar a posição dos objetos na mesa.;Sem Tag
Escrever uma meta para o resto do dia.;Sem Tag
Ouvir uma música nova e curta.;Sem Tag
Testar uma nova técnica de respiração.;Sem Tag
Fazer um alongamento de pernas.;Sem Tag
Enviar um elogio a alguém.;Sem Tag
Fazer uma pesquisa rápida sobre um tema de interesse.;Sem Tag
Tirar uma foto engraçada para enviar a um amigo.;Sem Tag
Organizar os documentos da mesa.;Sem Tag
Planejar uma refeição rápida para o próximo intervalo.;Sem Tag
Desconectar-se da internet por 1 minuto.;Sem Tag
Fazer uma massagem rápida nas mãos.;Sem Tag
Verificar um vídeo tutorial curto no YouTube.;Sem Tag
Limpar rapidamente seu teclado.;Sem Tag
Criar um lembrete para uma tarefa futura.;Sem Tag
Fechar os olhos e respirar fundo por 1 minuto.;Sem Tag
Verificar suas mensagens de voz.;Sem Tag
Fazer uma caminhada curta ao redor do ambiente.;Sem Tag
Testar um exercício de alongamento de costas.;Sem Tag
Organizar os ícones no desktop.;Sem Tag
Escrever um e-mail curto de agradecimento.;Sem Tag
Fazer uma breve lista de metas para a próxima semana.;Sem Tag
Trocar ideias com um colega sobre um projeto.;Sem Tag
Organizar seus favoritos no navegador.;Sem Tag
Testar uma pose de ioga de 1 minuto.;Sem Tag
Escrever uma lista de desejos.;Sem Tag
Desligar o monitor por 1 minuto para descansar os olhos.;Sem Tag
Organizar brevemente sua caixa de e-mails.;Sem Tag
Sentar-se ao sol por 1 minuto.;Sem Tag
Verificar a previsão do tempo para o fim de semana.;Sem Tag
Responder a uma mensagem pessoal.;Sem Tag
Checar o saldo no banco.;Sem Tag
Arrumar uma planta em sua mesa.;Sem Tag
Escrever uma frase motivacional para o dia.;Sem Tag
Fazer 20 polichinelos.;Treino
Organizar uma gaveta do escritório.;Sem Tag
Mudar o tom de voz para falar mais devagar ou rápido.;Sem Tag
Fazer um elogio a um colega.;Sem Tag
Fazer um lanche rápido.;Sem Tag
Relembrar um momento feliz recente.;Sem Tag
Verificar rapidamente o calendário para eventos futuros.;Sem Tag
Mudar a posição da cadeira para uma postura mais ergonômica.;Sem Tag
Ler um artigo rápido sobre um tópico de interesse.;Sem Tag
Testar uma pose de alongamento para o pescoço.;Sem Tag
Fazer uma lista de compras rápidas.;Sem Tag
Passar protetor solar se estiver ao ar livre.;Sem Tag
Experimentar uma nova posição para o mouse.;Sem Tag
Organizar os papéis soltos em sua mesa.;Sem Tag
Escrever uma pequena nota motivacional para o dia seguinte.;Sem Tag
Respirar profundamente por 1 minuto com olhos fechados.;Meditação
Compartilhar uma foto ou meme engraçado com amigos.;Sem Tag
Ler um artigo curto sobre bem-estar.;Sem Tag
Fazer 5 saltos verticais.;Treino
Colocar lembretes de exercícios de postura no celular.;Sem Tag
Fazer uma lista de filmes para assistir no fim de semana.;Sem Tag
Testar um exercício de flexibilidade nas pernas.;Sem Tag
Experimentar uma técnica de relaxamento muscular.;Sem Tag
Planejar uma pequena atividade de lazer para o final do dia.;Sem Tag
Revisar um documento de trabalho rapidamente.;Sem Tag
Verificar as atualizações de redes sociais.;Sem Tag
Esticar os braços acima da cabeça por 1 minuto.;Sem Tag
Desligar as notificações do celular por alguns minutos.;Sem Tag
Organizar seu espaço de trabalho digital (arquivos, pastas, etc);Sem Tag
Pensar em três coisas positivas que aconteceram no dia.;Sem Tag
Ouvir os sons ao redor e focar em um por 1 minuto.;Sem Tag
Olhar para um objeto distante para relaxar os olhos.;Sem Tag
Mandar uma mensagem de agradecimento para um colega.;Sem Tag
Organizar suas canetas e suprimentos de escritório.;Sem Tag
Tirar uma foto de um livro ou objeto interessante na sua mesa.;Sem Tag
Fazer uma lista de conquistas recentes no trabalho.;Sem Tag
Anotar 3 coisas que você deseja melhorar na sua produtividade.;Sem Tag
Respirar profundamente e soltar lentamente por 5 vezes.;Sem Tag
Testar uma nova configuração de luz no ambiente.;Sem Tag
Olhar um vídeo rápido e educativo no YouTube.;Sem Tag
Fazer uma pequena caminhada ao redor do ambiente.;Sem Tag
Rever rapidamente suas notas de trabalho.;Sem Tag
Escrever um post-it com uma tarefa prioritária para o dia.;Sem Tag
Organizar sua caixa de entrada de e-mails.;Sem Tag
Fazer um alongamento dos tornozelos e pés.;Sem Tag
Tirar 1 minuto para fazer um exercício de mindfulness.;Sem Tag
Planejar o que você vai fazer no próximo intervalo.;Sem Tag
Mandar um cumprimento para um colega de trabalho.;Sem Tag
Tirar uma foto engraçada de algo em sua mesa.;Sem Tag
Checar o status de uma entrega ou encomenda online.;Sem Tag
Limpar a tela do seu celular.;Sem Tag
Fazer 15 polichinelos.;Treino
Ouvir uma música relaxante de curta duração.;Sem Tag
Mandar uma mensagem de apoio a um amigo ou familiar.;Sem Tag
Reorganizar os ícones na tela inicial do celular.;Sem Tag
Testar uma nova pose de meditação rápida.;Meditação
Lavar o rosto para se refrescar.;Sem Tag
Fazer um alongamento de braços cruzados.;Sem Tag
Revisar sua agenda semanal rapidamente.;Sem Tag
Mandar uma foto engraçada para um amigo.;Sem Tag
Limpar seu mouse ou teclado com um pano seco.;Sem Tag
Testar um alongamento de quadris sentado.;Treino
Ler um trecho de um livro motivacional.;Sem Tag
Fazer 10 respirações profundas enquanto conta até 10.;Sem Tag
Tomar uma xícara de chá verde.;Sem Tag
Revisar sua lista de senhas para atualizações.;Sem Tag
Desconectar-se de redes sociais por 5 minutos.;Sem Tag
Escrever uma frase inspiradora para si mesmo.;Sem Tag
Relembrar algo pelo qual você se sente grato.;Sem Tag
Planejar uma caminhada mais longa no próximo intervalo.;Sem Tag
Anotar 3 metas para a próxima semana.;Sem Tag
Organizar seus documentos de trabalho.;Trabalho
Tirar 2 minutos para observar o ambiente ao redor.;Sem Tag
Testar uma posição de ioga rápida de alongamento.;Sem Tag
Fazer um exercício de respiração controlada por 3 minutos.;Meditação
Desenhar ou rabiscar algo em um pedaço de papel.;Sem Tag
Fazer uma lista de músicas para ouvir durante o trabalho.;Trabalho
Revisar rapidamente um relatório ou e-mail importante.;Sem Tag
Olhar fotos antigas no celular.;Sem Tag
Configurar um lembrete de pausa no seu cronômetro.;Sem Tag
Organizar as pastas no seu e-mail.;Sem Tag
Trocar a posição de um objeto na sua mesa.;Sem Tag
Fazer um exercício de alongamento dos ombros.;Sem Tag
Revisar a ordem de prioridade das tarefas do dia.;Sem Tag
Escrever uma frase curta descrevendo o seu humor atual.;Sem Tag
Revisar uma notificação importante no celular.;Sem Tag
Fazer uma caminhada curta ao redor da sua casa ou escritório.;Sem Tag
Testar um exercício de fortalecimento das costas.;Sem Tag
Respirar fundo e soltar lentamente por 5 vezes.;Sem Tag
Ouvir uma música curta de meditação.;Meditação
Limpar rapidamente os fones de ouvido.;Sem Tag
Mandar uma mensagem de apoio para um amigo ou familiar.;Sem Tag
Fazer uma lista das tarefas mais importantes para o resto do dia.;Sem Tag
Organizar os materiais de escritório.;Sem Tag
Criar uma meta de algo que você quer aprender hoje.;Estudo
Desenhar um esboço rápido de algo ao seu redor.;Sem Tag
Revisar uma tarefa no seu planejamento semanal.;Sem Tag
Colocar uma música para tocar enquanto trabalha.;Trabalho
Organizar as abas abertas no navegador.;Sem Tag
Fazer 20 flexões de braço.;Treino
Limpar sua carteira ou bolsa.;Sem Tag
Mandar um emoji divertido para alguém.;Sem Tag
Trocar uma palavra rápida com um colega de trabalho.;Trabalho
Fazer uma pausa para alongar as pernas.;Sem Tag
Configurar lembretes no celular para as próximas tarefas.;Sem Tag
Fazer 20 polichinelos.;Treino
Limpar os fones de ouvido ou caixa de som.;Sem Tag
Mandar um “bom dia” para um colega ou amigo.;Sem Tag
Fazer uma pausa e checar rapidamente as notícias.;Sem Tag
Fechar os olhos e fazer uma meditação guiada por 2 minutos.;Meditação
Organizar rapidamente os documentos da mesa.;Sem Tag
Escrever uma frase de incentivo em um post-it.;Sem Tag
Trocar o papel de parede da área de trabalho.;Sem Tag
Organizar os marcadores de páginas no navegador.;Sem Tag
Experimentar uma técnica de respiração alternada nas narinas.;Sem Tag
Planejar o próximo almoço ou jantar.;Sem Tag
Fazer um desenho ou rascunho rápido de algo divertido.;Sem Tag
Fazer um pequeno alongamento de pulso.;Sem Tag
Mandar um áudio rápido para um amigo ou familiar.;Sem Tag
Revisar os lembretes do celular.;Sem Tag
Trocar um objeto de lugar no seu ambiente de trabalho.;Sem Tag
Tomar um tempo para refletir sobre sua última tarefa concluída.;Sem Tag
Anotar rapidamente uma nova ideia para um projeto pessoal.;Sem Tag
Ler uma notícia curta de tecnologia ou inovação.;Sem Tag
Fazer uma lista rápida de compras necessárias.;Sem Tag
Ligar para alguém e desejar um bom dia.;Sem Tag
Beber um chá calmante.;Sem Tag
Organizar os fones de ouvido ou cabos na mesa.;Sem Tag
Fazer 5 burpees.;Treino
Mandar uma mensagem de aniversário para um amigo.;Sem Tag
Organizar sua mesa ou estante de livros.;Sem Tag
Trocar sua senha de um site ou serviço.;Sem Tag
Revisar uma apresentação ou documento rapidamente.;Sem Tag
Fazer uma pequena pausa para relaxar os olhos;Sem Tag
Revisar suas metas de curto prazo.;Sem Tag
Atualizar uma planilha de controle pessoal.;Sem Tag
Trocar uma palavra rápida com um colega sobre uma ideia.;Sem Tag
Fazer 1 minuto de exercício de respiração profunda.;Meditação
Trocar rapidamente o plano de fundo do celular.;Sem Tag
Fazer um alongamento leve de 3 minutos.;Sem Tag
Pensar em 3 coisas pelas quais você está animado hoje.;Sem Tag
Mandar um “obrigado” a um colega de trabalho.;Sem Tag
Fazer um check-in emocional com você mesmo.;Sem Tag
Organizar sua gaveta de trabalho.;Sem Tag
Fazer uma lista de tarefas não prioritárias que você pode resolver depois.;Sem Tag
Escrever uma frase motivacional para o dia.;Sem Tag
Verificar rapidamente o saldo da sua conta bancária.;Sem Tag
Tomar 2 minutos para organizar suas ideias.;Sem Tag
Fazer 1 minuto de polichinelos.;Treino
Organizar seu espaço físico (livros, etc);Sem Tag
Limpar a tela do computador ou celular.;Sem Tag
Esticar os braços e pernas por 1 minuto.;Sem Tag
Fazer um exercício de visualização rápida de 3 minutos.;Sem Tag
"Mandar um ""oi"" rápido para um amigo de infância.";Sem Tag
Respirar fundo e relaxar os músculos das costas por 1 minuto.;Sem Tag
Limpar rapidamente seu copo de água.;Sem Tag
Revisar seu e-mail rapidamente.;Sem Tag
Anotar uma ideia que acabou de surgir.;Sem Tag
Fazer um alongamento suave da coluna.;Sem Tag
Fazer um breve check-in com seu superior ou colega.;Sem Tag
Escrever uma frase sobre como está se sentindo.;Sem Tag
Mandar uma mensagem positiva para o grupo da família.;Sem Tag
Checar o clima para o final de semana.;Sem Tag
Fazer 10 agachamentos para ativar a circulação.;Treino
Respirar fundo e soltar lentamente 3 vezes.;Sem Tag
Fazer 1 minuto de massagem nos próprios ombros.;Sem Tag
Desconectar do celular por 5 minutos para focar.;Foco
Revisar os detalhes de uma tarefa importante.;Sem Tag
Fazer uma breve caminhada até a outra sala.;Sem Tag
Organizar os cartões de visita ou anotações antigas.;Sem Tag
Mandar um elogio sincero a um colega.;Sem Tag
Abrir uma nova aba de busca e procurar algo que você estava adiando.;Sem Tag
Ligar para um parente e falar algo positivo.;Sem Tag
Fazer um alongamento do pescoço para aliviar tensões.;Sem Tag
Escrever uma lista rápida de hobbies que gostaria de praticar.;Sem Tag
Tirar uma foto de algo inspirador e compartilhar com um amigo.;Sem Tag
Assistir a um vídeo inspirador rápido.;Sem Tag
Revisar as anotações de uma reunião passada.;Sem Tag
Criar uma meta pessoal para o próximo intervalo.;Sem Tag
Organizar suas senhas em um gerenciador de senhas.;Sem Tag
Revisar rapidamente os compromissos futuros.;Sem Tag
Fazer uma pesquisa rápida sobre um tema de seu interesse.;Sem Tag
Organizar sua agenda para o restante da semana.;Sem Tag
Tirar 2 minutos para refletir sobre o que está sendo produtivo no seu dia.;Sem Tag
Revisar e ajustar a meta principal do dia.;Sem Tag
Organizar brevemente a sua área de trabalho digital.;Sem Tag
Desconectar-se por 1 minuto para relaxar a mente.;Sem Tag
Fazer 20 flexões.;Treino
Atualizar sua biografia em redes sociais profissionais.;Sem Tag
Fazer um alongamento da coluna em pé.;Sem Tag
Organizar os fones de ouvido ou eletrônicos.;Sem Tag
Mandar uma mensagem positiva para o grupo de trabalho.;Sem Tag
Tirar uma foto rápida da sua área de trabalho organizada.;Sem Tag
Fazer uma pequena caminhada ao redor do local de trabalho.;Sem Tag
Fazer uma meditação de atenção plena por 1 minuto.;Meditação
Revisar rapidamente a ordem de prioridades do dia.;Sem Tag
Ler uma frase inspiradora e compartilhar com um amigo.;Sem Tag
Fechar os olhos e fazer uma pausa de 1 minuto.;Meditação
Organizar os marcadores de páginas no navegador.;Sem Tag
Anotar uma ideia de melhoria no fluxo de trabalho.;Foco
Fazer um exercício de respiração relaxante.;Sem Tag
Tirar um minuto para refletir sobre algo positivo que aconteceu recentemente.;Meditação
Fazer uma massagem rápida nas mãos.;Sem Tag
Esticar os braços para cima e segurar por 10 segundos.;Treino
Fazer 10 saltos curtos.;Treino
Organizar os ícones da área de trabalho.;Sem Tag
Desconectar-se das redes sociais por 5 minutos.;Foco
Atualizar sua lista de músicas favoritas.;Sem Tag
Apagar anotações antigas desnecessárias.;Sem Tag
Limpar rapidamente o teclado ou mouse.;Sem Tag
Fazer um exercício rápido de concentração;Sem Tag
Ajustar as configurações de iluminação no seu ambiente.;Sem Tag
Mandar uma mensagem motivacional para um colega.;Sem Tag
Verificar o seu progresso em uma tarefa.;Foco
Lavar as mãos com água fria para refrescar-se.;Sem Tag
Organizar os materiais de escrita na mesa.;Sem Tag
Fazer uma breve pesquisa no Google sobre algo que te intriga.;Sem Tag
Conferir os aniversários do mês.;Sem Tag
Escrever um e-mail de agradecimento para um cliente ou colega.;Sem Tag
Conferir as redes sociais por atualizações rápidas.;Sem Tag
Fazer um alongamento rápido de pernas.;Sem Tag
Organizar os papéis na sua mesa de trabalho.;Sem Tag
Mudar o status do seu perfil em uma rede social.;Sem Tag
Responder a uma mensagem pendente de um amigo.;Sem Tag
Limpar sua caneca de café.;Sem Tag
Fazer um exercício de relaxamento dos olhos.;Sem Tag
Organizar a lixeira do computador.;Sem Tag
Mandar uma mensagem de incentivo a um colega.;Sem Tag
Fazer uma lista de tarefas pendentes e definir prioridades.;Sem Tag
Ajustar a altura da cadeira para melhorar a postura.;Sem Tag
Esticar as costas e ombros por 30 segundos.;Sem Tag
Trocar rapidamente de ambiente de trabalho (se possível).;Sem Tag
Fazer um alongamento lateral.;Treino
Beber um gole de água lentamente;Sem Tag
Fazer uma pequena caminhada no ambiente de trabalho.;Sem Tag
Abrir uma aba no navegador para pesquisar algo novo.;Sem Tag
Atualizar suas configurações de segurança digital.;Sem Tag
Tirar um minuto para observar sua respiração.;Sem Tag
Reorganizar a disposição dos objetos na mesa.;Sem Tag
Mandar uma mensagem de bom humor para um colega.;Sem Tag
Anotar três metas para a próxima semana.;Sem Tag
Fazer um exercício de respiração focado.;Meditação
Organizar os fones de ouvido em um organizador.;Sem Tag
Ler uma frase inspiradora de um autor famoso.;Sem Tag
Fazer uma pausa rápida para um lanche saudável.;Sem Tag
Experimentar um exercício de relaxamento para as mãos.;Sem Tag
Verificar se há atualizações para seus aplicativos de trabalho.;Sem Tag
Desligar e ligar seu monitor para descansar a vista.;Sem Tag
Mandar uma mensagem para um mentor ou líder.;Sem Tag
Limpar os braços da cadeira.;Sem Tag
Anotar uma nova ideia de projeto.;Sem Tag
Fazer 1 minuto de prancha (exercício físico).;Treino
Fazer uma anotação sobre uma melhoria para o próximo projeto.;Sem Tag
Atualizar o papel de parede da área de trabalho.;Sem Tag
Sentar-se com os pés descalços no chão e relaxar.;Sem Tag
Configurar um lembrete de tarefa importante para o final do dia.;Sem Tag
Fazer um exercício rápido de meditação de mindfulness.;Meditação
Ajustar o brilho do monitor para evitar fadiga ocular.;Sem Tag
Mandar uma mensagem para alguém agradecendo por algo recente.;Sem Tag
Criar uma nota com ideias de melhorias para a sua rotina.;Sem Tag
Verificar o calendário de compromissos da semana.;Sem Tag
Tomar 5 respirações profundas e focadas.;Sem Tag
Organizar rapidamente a área de trabalho no computador.;Sem Tag
Checar o progresso de um projeto importante.;Foco
Fazer um exercício de rotação de tornozelos.;Treino
Beber um copo de suco ou chá para reenergizar.;Sem Tag
Escrever rapidamente uma lista de gratidão.;Sem Tag
Trocar a sua caneta por uma nova ou mais confortável.;Sem Tag
Mandar uma mensagem de apoio para um colega.;Sem Tag
Fazer uma pausa para ajustar sua postura na cadeira.;Sem Tag
Ler um parágrafo de um livro inspirador.;Sem Tag
Mandar um recado rápido para a família.;Sem Tag
Conferir as notícias locais por 1 minuto.;Sem Tag
Organizar seus clipes de papel ou materiais pequenos.;Sem Tag
Fazer um exercício de mindfulness observando sua respiração.;Sem Tag
Compartilhar um artigo interessante com um colega.;Sem Tag
Trocar o lugar de um objeto decorativo na sua mesa.;Sem Tag
Planejar rapidamente um próximo passeio ou encontro.;Sem Tag
Mandar um elogio sincero a um amigo ou colega.;Sem Tag
Fazer uma pequena pausa para ouvir uma música relaxante.;Sem Tag
Escrever um pensamento positivo sobre o seu dia.;Sem Tag
Lembrar de algo engraçado e compartilhar com alguém.;Sem Tag
Revisar o seu progresso no trabalho do dia.;Sem Tag
Mandar uma mensagem de agradecimento para alguém importante.;Sem Tag
Organizar rapidamente sua estante de livros.;Sem Tag
Fazer uma pausa para respirar ar fresco (se possível).;Sem Tag
Planejar uma atividade de lazer para o final do dia.;Sem Tag
Fazer uma caminhada curta pelo ambiente de trabalho.;Sem Tag
Conferir o andamento de suas metas semanais.;Sem Tag
Escrever um tweet ou post rápido de reflexão sobre o dia.;Sem Tag
Tirar um minuto para sorrir e relaxar os músculos faciais.;Sem Tag
Fazer uma mini meditação de gratidão.;Meditação
Mandar uma mensagem positiva para um familiar.;Sem Tag
Fazer um exercício de relaxamento do maxilar.;Sem Tag
Atualizar suas playlists de músicas de foco.;Foco
Organizar os papéis de anotações na sua mesa.;Sem Tag
Fazer uma pausa para beber algo quente;Sem Tag
Fazer uma série rápida de 10 abdominais.;Treino
Organizar os itens de escritório no seu ambiente de trabalho.;Sem Tag
Experimentar um exercício de concentração;Foco
Fazer um exercício rápido de equilíbrio;Treino
Fazer uma pausa para massagem nos ombros.;Sem Tag
Escrever uma reflexão sobre sua última tarefa concluída.;Sem Tag
Mandar um áudio rápido para um amigo perguntando como ele está.;Sem Tag
Atualizar seu perfil em uma rede social.;Sem Tag
Organizar seus cabos eletrônicos.;Sem Tag
Fazer uma pausa para relembrar um momento feliz.;Sem Tag
Desenhar um rascunho rápido de uma ideia que teve.;Sem Tag
Sentar-se em silêncio e respirar profundamente por 2 minutos.;Meditação
Organizar seus materiais de estudo ou trabalho em pastas.;Trabalho
Fazer uma caminhada rápida até a janela e olhar para fora.;Sem Tag
Mandar uma mensagem de carinho para um ente querido.;Sem Tag
Planejar sua próxima refeição de forma saudável.;Sem Tag
Ligar para um parente para um bate-papo rápido.;Sem Tag
Fazer uma rotação suave dos punhos para relaxar as mãos.;Sem Tag
Escrever um plano rápido para uma tarefa pendente.;Trabalho
Fazer uma rápida verificação nas redes sociais profissionais.;Trabalho
Organizar a barra de ferramentas do seu navegador.;Sem Tag
Limpar e organizar sua mesa de cabeceira (se estiver em home office).;Sem Tag
Fazer um exercício de mindfulness de 2 minutos observando sons ao redor.;Sem Tag
Escrever uma frase inspiradora para o dia.;Sem Tag
Tirar 2 minutos para meditar em silêncio.;Meditação
Fazer um breve alongamento do quadril.;Treino
Escrever uma ideia para melhorar a organização do seu espaço de trabalho.;Sem Tag
Organizar suas anotações ou cadernos de forma lógica.;Sem Tag
Fazer uma pausa para se desconectar de dispositivos eletrônicos.;Sem Tag
Verificar rapidamente sua lista de compromissos pessoais.;Sem Tag
Escrever uma pergunta que gostaria de pesquisar mais tarde.;Sem Tag
Mandar uma mensagem de agradecimento a um cliente.;Sem Tag
Planejar um próximo desafio pessoal ou profissional.;Sem Tag
Fazer uma pausa para beber um suco ou vitamina.;Sem Tag
Esticar as pernas enquanto está sentado.;Sem Tag
Limpar rapidamente o mousepad.;Sem Tag
Anotar o que precisa comprar na próxima ida ao supermercado.;Sem Tag
Experimentar uma nova música de fundo enquanto trabalha.;Sem Tag
Tirar um tempo para limpar sua caixa de entrada de e-mails.;Sem Tag
Ler uma notícia rápida sobre um tema que te interessa.;Sem Tag
Anotar uma meta de longo prazo.;Sem Tag
Fazer uma massagem rápida nas têmporas para aliviar o estresse.;Sem Tag
Compartilhar um artigo interessante com um colega.;Sem Tag
Organizar as abas abertas no navegador.;Sem Tag
Testar uma nova técnica de respiração profunda.;Meditação
Fazer 10 flexões ou um exercício físico rápido.;Treino
Revisar rapidamente o seu calendário mensal.;Sem Tag
Mandar um elogio genuíno a alguém no trabalho.;Sem Tag
Tirar uma foto rápida da sua estação de trabalho.;Sem Tag
Assistir a um vídeo engraçado por 1 minuto.;Sem Tag
Organizar os cabos de carregamento de eletrônicos.;Sem Tag
Anotar um pequeno aprendizado do dia.;Sem Tag
Enviar um GIF divertido para alguém que precisa de ânimo.;Sem Tag
Fazer uma pausa para um lanche leve e saudável.;Sem Tag
Escrever uma frase positiva para motivar o restante do dia.;Sem Tag
Experimentar uma nova técnica de alongamento para as costas.;Treino
Mandar uma mensagem de encorajamento para alguém.;Sem Tag
Verificar a sua lista de desejos em uma loja online.;Sem Tag
Fazer uma pausa para desenhar um esboço rápido.;Sem Tag
Ajustar o seu cronograma para a próxima semana.;Sem Tag
Anotar três tarefas que você deseja concluir hoje.;Foco
Fazer uma rotação rápida dos ombros e pescoço.;Treino
Limpar o histórico de navegação do navegador.;Sem Tag
Mandar uma mensagem para alguém que você não fala há um tempo.;Sem Tag
Organizar os itens de papelaria na sua mesa.;Sem Tag
Ouvir uma música relaxante por 2 minutos.;Sem Tag
Mandar uma foto rápida do seu ambiente de trabalho para um amigo.;Sem Tag
Conferir os eventos do calendário para o final de semana.;Sem Tag
Anotar uma ideia para melhorar a produtividade.;Sem Tag
Criar uma lista de presentes que você gostaria de comprar.;Sem Tag
Fazer uma pausa para refletir sobre o progresso do seu dia.;Sem Tag
Escrever um lembrete para uma tarefa futura.;Sem Tag
Organizar os ícones da barra de tarefas no computador.;Sem Tag
Mandar um agradecimento para alguém que te ajudou recentemente.;Sem Tag
Fazer um exercício de mindfulness por 3 minutos.;Meditação
Conferir o saldo bancário ou revisar suas finanças.;Sem Tag
Anotar algo positivo que aconteceu na última hora.;Sem Tag
Fazer uma pausa para beber um chá ou café calmante.;Sem Tag
Organizar as suas senhas em um gerenciador de senhas.;Sem Tag
Testar uma nova postura ergonômica na cadeira.;Sem Tag
Mandar um áudio motivacional para um colega.;Sem Tag
Limpar a tela do celular ou tablet.;Sem Tag
Atualizar o seu perfil no LinkedIn ou em outra rede profissional.;Sem Tag
Tirar 1 minuto para fechar os olhos e relaxar a mente.;Meditação
Fazer uma pequena massagem nos pés.;Sem Tag
Tirar uma foto criativa da sua estação de trabalho.;Sem Tag
Criar uma nova playlist para os momentos de concentração.;Sem Tag
Repassar mentalmente as metas do dia.;Foco
Conferir rapidamente a previsão de clima para os próximos dias.;Sem Tag
Verificar se há atualizações de software no computador.;Sem Tag
Mandar um “bom dia” para um grupo de amigos.;Sem Tag
Organizar a área de trabalho do seu computador.;Sem Tag
Fazer um alongamento rápido de tornozelos e pés.;Treino
Mandar um recado para um colega ou amigo desejando boa sorte.;Sem Tag
Revisar um projeto rápido em andamento.;Sem Tag
Atualizar o calendário com compromissos pessoais.;Sem Tag
Beber um copo de água lentamente;Sem Tag
Fazer uma pausa para alongar as costas e ombros.;Treino
Anotar uma coisa nova que você aprendeu hoje.;Sem Tag
Organizar sua lista de favoritos no navegador.;Sem Tag
Criar uma pequena lista de objetivos para a próxima semana.;Sem Tag
Fazer uma pausa para respirar fundo e relaxar a mente.;Meditação